date,new_env,old_env
2024-01-02,BEAR,BEAR
2024-01-03,BEAR,BEAR
2024-01-04,BEAR,BEAR
2024-01-05,BEAR,BEAR
2024-01-08,BEAR,BEAR
2024-01-09,BEAR,BEAR
2024-01-10,BEAR,BEAR
2024-01-11,BEAR,BEAR
2024-01-12,BEAR,BEAR
2024-01-15,BEAR,BEAR
2024-01-16,BEAR,BEAR
2024-01-17,BEAR,BEAR
2024-01-18,BEAR,BEAR
2024-01-19,BEAR,BEAR
2024-01-22,BEAR,BEAR
2024-01-23,BEAR,BEAR
2024-01-24,BEAR,BEAR
2024-01-25,BEAR,BEAR
2024-01-26,BEAR,BEAR
2024-01-29,BEAR,BEAR
2024-01-30,BEAR,BEAR
2024-01-31,BEAR,BEAR
2024-02-01,BEAR,BEAR
2024-02-02,BEAR,BEAR
2024-02-05,BEAR,BEAR
2024-02-06,BEAR,BEAR
2024-02-07,OSCILLATE,BEAR
2024-02-08,OSCILLATE,BEAR
2024-02-19,OSCILLATE,BEAR
2024-02-20,OSCILLATE,BEAR
2024-02-21,BEAR,BEAR
2024-02-22,OSCILLATE,BEAR
2024-02-23,OSCILLATE,BEAR
2024-02-26,OSCILLATE,BEAR
2024-02-27,BEAR,BEAR
2024-02-28,BEAR,BEAR
2024-02-29,BEAR,BULL
2024-03-01,BEAR,BULL
2024-03-04,BEAR,BULL
2024-03-05,BEAR,BULL
2024-03-06,BEAR,BULL
2024-03-07,BEAR,BULL
2024-03-08,BEAR,BULL
2024-03-11,BEAR,BULL
2024-03-12,BEAR,BULL
2024-03-13,BEAR,BULL
2024-03-14,BEAR,BULL
2024-03-15,BEAR,BULL
2024-03-18,BEAR,BULL
2024-03-19,BEAR,BULL
2024-03-20,BEAR,BULL
2024-03-21,BEAR,BULL
2024-03-22,BEAR,BULL
2024-03-25,BEAR,BULL
2024-03-26,BEAR,BULL
2024-03-27,BEAR,BULL
2024-03-28,BEAR,BULL
2024-03-29,BEAR,BULL
2024-04-01,BEAR,BULL
2024-04-02,BEAR,BULL
2024-04-03,BEAR,BULL
2024-04-08,BEAR,BULL
2024-04-09,BEAR,BULL
2024-04-10,BEAR,BULL
2024-04-11,BEAR,BULL
2024-04-12,BEAR,BULL
2024-04-15,BEAR,BULL
2024-04-16,BEAR,BULL
2024-04-17,BEAR,BULL
2024-04-18,BEAR,BULL
2024-04-19,BULL,BULL
2024-04-22,BULL,BULL
2024-04-23,BULL,BULL
2024-04-24,BULL,BULL
2024-04-25,BULL,BULL
2024-04-26,BULL,BULL
2024-04-29,BULL,BULL
2024-04-30,BULL,BULL
2024-05-06,BULL,BULL
2024-05-07,BULL,BULL
2024-05-08,BULL,BULL
2024-05-09,BULL,BULL
2024-05-10,BULL,BULL
2024-05-13,BULL,BULL
2024-05-14,BULL,BULL
2024-05-15,BULL,BULL
2024-05-16,BULL,BULL
2024-05-17,BULL,BULL
2024-05-20,BULL,BULL
2024-05-21,BULL,BULL
2024-05-22,BULL,BULL
2024-05-23,BULL,BULL
2024-05-24,BULL,BULL
2024-05-27,BULL,BULL
2024-05-28,BULL,BULL
2024-05-29,BULL,BULL
2024-05-30,BULL,BULL
2024-05-31,BULL,BULL
2024-06-03,BULL,BULL
2024-06-04,BULL,BULL
2024-06-05,BULL,BULL
2024-06-06,BULL,BULL
2024-06-07,BULL,BULL
2024-06-11,BULL,BULL
2024-06-12,BULL,BULL
2024-06-13,BULL,BULL
2024-06-14,BULL,BULL
2024-06-17,BULL,BULL
2024-06-18,BULL,BULL
2024-06-19,BULL,BULL
2024-06-20,BEAR,BEAR
2024-06-21,BEAR,BEAR
2024-06-24,BEAR,BEAR
2024-06-25,BEAR,BEAR
2024-06-26,BEAR,BEAR
2024-06-27,BEAR,BEAR
2024-06-28,BEAR,BEAR
2024-07-01,BEAR,BEAR
2024-07-02,BEAR,BEAR
2024-07-03,BEAR,BEAR
2024-07-04,BEAR,BEAR
2024-07-05,BEAR,BEAR
2024-07-08,BEAR,BEAR
2024-07-09,BEAR,BEAR
2024-07-10,BEAR,BEAR
2024-07-11,BEAR,BEAR
2024-07-12,BEAR,BEAR
2024-07-15,BEAR,BEAR
2024-07-16,BEAR,BEAR
2024-07-17,BEAR,BEAR
2024-07-18,BEAR,BEAR
2024-07-19,BEAR,BEAR
2024-07-22,BEAR,BEAR
2024-07-23,BEAR,BEAR
2024-07-24,BEAR,BEAR
2024-07-25,BEAR,BEAR
2024-07-26,BEAR,BEAR
2024-07-29,BEAR,BEAR
2024-07-30,BEAR,BEAR
2024-07-31,BEAR,BEAR
2024-08-01,BEAR,BEAR
2024-08-02,BEAR,BEAR
2024-08-05,BEAR,BEAR
2024-08-06,BEAR,BEAR
2024-08-07,BEAR,BEAR
2024-08-08,BEAR,BEAR
2024-08-09,BEAR,BEAR
2024-08-12,BEAR,BEAR
2024-08-13,BEAR,BEAR
2024-08-14,BEAR,BEAR
2024-08-15,BEAR,BEAR
2024-08-16,BEAR,BEAR
2024-08-19,BEAR,BEAR
2024-08-20,BEAR,BEAR
2024-08-21,BEAR,BEAR
2024-08-22,BEAR,BEAR
2024-08-23,BEAR,BEAR
2024-08-26,BEAR,BEAR
2024-08-27,BEAR,BEAR
2024-08-28,BEAR,BEAR
2024-08-29,BEAR,BEAR
2024-08-30,BEAR,BEAR
2024-09-02,BEAR,BEAR
2024-09-03,BEAR,BEAR
2024-09-04,BEAR,BEAR
2024-09-05,BEAR,BEAR
2024-09-06,BEAR,BEAR
2024-09-09,BEAR,BEAR
2024-09-10,BEAR,BEAR
2024-09-11,BEAR,BEAR
2024-09-12,BEAR,BEAR
2024-09-13,BEAR,BEAR
2024-09-18,BEAR,BEAR
2024-09-19,BEAR,BEAR
2024-09-20,BEAR,BEAR
2024-09-23,BEAR,BEAR
2024-09-24,BEAR,BEAR
2024-09-25,BEAR,BEAR
2024-09-26,BEAR,BEAR
2024-09-27,BEAR,BEAR
2024-09-30,BEAR,BEAR
2024-10-08,BEAR,BEAR
2024-10-09,BEAR,BEAR
2024-10-10,OSCILLATE,BEAR
2024-10-11,OSCILLATE,BEAR
2024-10-14,OSCILLATE,BEAR
2024-10-15,OSCILLATE,BEAR
2024-10-16,OSCILLATE,BEAR
2024-10-17,OSCILLATE,BEAR
2024-10-18,OSCILLATE,BEAR
2024-10-21,OSCILLATE,BEAR
2024-10-22,OSCILLATE,BEAR
2024-10-23,OSCILLATE,BEAR
2024-10-24,OSCILLATE,BEAR
2024-10-25,OSCILLATE,BEAR
2024-10-28,OSCILLATE,BEAR
2024-10-29,OSCILLATE,BEAR
